"schema","table_name","policy_name","permissive","roles","cmd","qual","with_check","classification","expected","difference"
"public","chat_sessions","chat_sessions_update","PERMISSIVE","{public}","UPDATE","((user_id = ( SELECT auth.uid() AS uid)) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))","(((user_id = ( SELECT auth.uid() AS uid)) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_feature_flags","clinic_feature_flags_select_scoped","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = 'admin'::text) OR app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_feature_flags","clinic_feature_flags_write_admin_only","PERMISSIVE","{public}","ALL","(app_private.get_current_role() = 'admin'::text)","(app_private.get_current_role() = 'admin'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_delete","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_insert","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_select","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_select_policy","PERMISSIVE","{public}","SELECT","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_update","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_upsert_policy","PERMISSIVE","{public}","ALL","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_admin_insert","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((parent_id IS NOT NULL) AND app_private.can_access_clinic(parent_id)) OR ((parent_id IS NULL) AND app_private.jwt_is_admin())))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
